timeStamp,elapsed,label,responseCode,responseMessage,success,failureMessage,Latency,IdleTime,Connect
1778511398033,36,Ad,200,,true,,6,0,0
1778511398070,27,LP_D,200,,true,,17,0,0
1778511398098,38,Ad2,200,,true,,6,0,0
1778511398137,13,Out,200,,true,,5,0,0
1778511398151,8,H,200,,true,,7,0,0
1778511398159,11,L,200,,true,,2,0,0
1778511398170,26,LP,200,,true,,17,0,0
1778511398197,34,LatP,200,,true,,26,0,0
1778511398232,26,Ad,200,,true,,4,0,0
1778511398259,19,LP_D,200,,true,,9,0,0
1778511398279,22,Ad2,200,,true,,4,0,0
1778511398302,9,Out,200,,true,,3,0,0
1778511398311,5,H,200,,true,,4,0,0
1778511398316,7,L,200,,true,,2,0,0
1778511398324,17,LP,200,,true,,9,0,0
1778511398342,19,LatP,200,,true,,11,0,0
1778511398361,17,Ad,200,,true,,3,0,0
1778511398378,17,LP_D,200,,true,,8,0,0
1778511398396,18,Ad2,200,,true,,3,0,0
1778511398414,8,Out,200,,true,,3,0,0
1778511398423,4,H,200,,true,,4,0,0
1778511398428,6,L,200,,true,,1,0,0
1778511398434,19,LP,200,,true,,9,0,0
1778511398454,33,LatP,200,,true,,25,0,0
1778511398488,31,Ad,200,,true,,5,0,0
1778511398519,25,LP_D,200,,true,,16,0,0
1778511398547,34,Ad2,200,,true,,6,0,0
1778511398581,13,Out,200,,true,,5,0,0
1778511398594,7,H,200,,true,,7,0,0
1778511398602,9,L,200,,true,,1,0,0
1778511398611,24,LP,200,,true,,16,0,0
1778511398636,34,LatP,200,,true,,26,0,0
1778511398670,33,Ad,200,,true,,6,0,0
1778511398703,25,LP_D,200,,true,,16,0,0
1778511398729,34,Ad2,200,,true,,6,0,0
1778511398764,13,Out,200,,true,,4,0,0
1778511398777,8,H,200,,true,,7,0,0
1778511398785,9,L,200,,true,,1,0,0
1778511398795,25,LP,200,,true,,15,0,0
1778511398821,36,LatP,200,,true,,27,0,0
1778511398857,32,Ad,200,,true,,5,0,0
1778511398890,26,LP_D,200,,true,,16,0,0
1778511398917,35,Ad2,200,,true,,6,0,0
1778511398952,13,Out,200,,true,,5,0,0
1778511398965,8,H,200,,true,,7,0,0
1778511398973,10,L,200,,true,,2,0,0
1778511398983,26,LP,200,,true,,18,0,0
1778511399010,39,LatP,200,,true,,32,0,0
1778511399050,20,Ad,200,,true,,3,0,0
1778511399070,17,LP_D,200,,true,,9,0,0
1778511399088,18,Ad2,200,,true,,3,0,0
1778511399106,8,Out,200,,true,,3,0,0
1778511399115,5,H,200,,true,,5,0,0
1778511399121,7,L,200,,true,,1,0,0
1778511399128,21,LP,200,,true,,13,0,0
1778511399150,28,LatP,200,,true,,20,0,0
1778511399178,27,Ad,200,,true,,5,0,0
1778511399206,20,LP_D,200,,true,,12,0,0
1778511399227,29,Ad2,200,,true,,6,0,0
1778511399256,11,Out,200,,true,,4,0,0
1778511399267,7,H,200,,true,,7,0,0
1778511399275,8,L,200,,true,,1,0,0
1778511399283,20,LP,200,,true,,12,0,0
1778511399304,29,LatP,200,,true,,21,0,0
1778511399333,26,Ad,200,,true,,4,0,0
1778511399359,22,LP_D,200,,true,,14,0,0
1778511399382,29,Ad2,200,,true,,6,0,1
